url	orgid
meetup.com/wordpress-singapore	wordpress_singapore
meetup.com/stack-by-govtech-singapore	stack_govtech
meetup.com/singapore-js	singaporejs
meetup.com/singapore-data-ai-engineering-meetup	sg_data_n_ai_engineering
meetup.com/r-user-group-sg	rugs
meetup.com/mariadb-singapore	mariadb_singapore_meetup_group
meetup.com/Junior-Developers-Singapore	juniordevsg
meetup.com/golangsg	golang_sg
meetup.com/flutter-singapore	flutter_sg
meetup.com/datascience-sg-singapore	datascience_sg
meetup.com/data-engineering-sg	data_engineering_sg
lu.ma/buildforgood	build_for_good
